序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
2,金門縣烈嶼鄉,林湖村,東林24號,118.248571,24.428328,金門縣烈嶼鄉林湖村辦公處,林湖村,30,"水災,震災,土石流,海嘯",林妙玲,082-364503,是,否,是
4,金門縣烏坵鄉,小坵村,無門牌號碼,119.47,24.98,烏坵鄉小坵村活動中心,小坵村,20,,莊金輝,82666056,否,否,否
5,金門縣烏坵鄉,大坵村,1號,119.453178,24.988739,金門縣烏坵鄉公所大廳,烏坵鄉大坵村,30,,林文彩,0826-66056,否,否,否
10,連江縣莒光鄉,大坪村,57-1號,119.977206,25.956666,東莒老人活動中心,大坪村,0,,曹以樹,0836-8914621,否,否,否
11,連江縣莒光鄉,福正村,1號,119.985351,25.961848,福正風景管理處,福正村,0,,曹鳳金,0836-89338,否,否,否
12,連江縣莒光鄉,西坵村,莒光指揮部國軍文康中心,119.932125,25.97828,莒光指揮部國軍文康中心,西坵村,0,,朱永元指揮官,0836-89217,否,否,否
13,連江縣莒光鄉,田沃村,52號,119.944922,25.972438,田沃老人活動中心,田沃村,0,,曹以樹,0836-89146,否,否,否
14,連江縣莒光鄉,青帆村,1號,119.933712,25.969995,青帆老人活動中心,青帆村,150,,曹以樹,0836-89416,否,否,否
15,連江縣莒光鄉,青帆村,18號,119.933934,25.970819,敬恆國中小禮堂,青帆村,200,,陳玉嬌,0836-88254,否,否,否
16,連江縣莒光鄉,大坪村,4號,119.97711,25.957484,東莒國小綜合教室,大坪村,200,,林湘官,0836-89043203,否,否,否
17,桃園市新屋區,石牌里,東興路二段568號,121.051297,26.0,石牌社區活動中心,石牌里,50,"水災,震災",江紘,4778168,是,否,是
28,臺東縣臺東市,,營區位置恕不敘明,119.752122,27.0,空軍第737戰術戰鬥機聯隊,臺東縣異地收容,329,,王詳閩少校,089-223911-872103,否,否,否
33,桃園市新屋區,後庄里,東福路二段515號,121.011554,26.870923,後庄社區活動中心,後庄里,50,"水災,震災",江紘,4778168,是,否,是
34,桃園市新屋區,望間里,4鄰十五間25號,121.065984,26.87753,望間社區活動中心,望間里,50,"水災,震災",江紘,4778168,是,否,是
35,桃園市新屋區,社子里,7鄰3之1號,121.085281,26.886062,社子社區活動中心,社子里,50,水災,江紘,4778168,是,否,是
36,桃園市新屋區,頭洲里,校前路48號,121.130215,26.888575,頭洲社區活動中心,頭洲里,50,"水災,震災",江紘,4778168,是,否,是
37,桃園市新屋區,深圳里,4鄰20之5號,121.007673,26.890879,深圳社區活動中心,深圳里,50,"水災,震災",江紘,4778168,是,否,是
38,桃園市新屋區,東明里,3鄰5號,121.078766,26.894742,東明社區活動中心,東明里,50,"水災,震災",江紘,4778168,是,否,是
39,桃園市新屋區,九斗里,長祥路1098號,121.117328,26.896771,九斗社區活動中心,九斗里,50,"水災,震災",江紘,4778168,是,否,是
40,桃園市新屋區,?榔里,8鄰9號,121.06181,26.898658,?榔社區活動中心,?榔里,50,"水災,震災",江紘,4778168,是,否,是
41,桃園市新屋區,下田里,4鄰中山西路2段780號,121.054326,26.908939,下田社區活動中心,下田里,50,"水災,震災",江紘,4778168,是,否,是
42,桃園市新屋區,永安里,13鄰保生路55號,121.02689,26.915734,永安社區活動中心,永安里,50,"水災,震災",江紘,4778168,是,否,是
43,桃園市新屋區,石磊里,三民路二段276號,121.079829,26.921813,石磊社區活動中心,石磊里,50,"水災,震災",江紘,4778168,是,否,是
44,桃園市新屋區,永興里,永慶一路273號,121.031521,26.92647,永興社區活動中心,永興里,50,"水災,震災",江紘,4778168,是,否,是
78,臺東縣金峰鄉,正興村,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.237198,21.201237,介達國小 Jieda Elementary School,正興村,100,,田桂香,089-781583,是,否,否
245,高雄市小港區,濟南里,飛機路153號,118.569662,22.555905,高雄市小港區青山國民小學,山東、濟南、青島,300,"水災,震災,海嘯",鍾享龍,8014543＊110,否,否,否
605,高雄市大樹區,姑山里,姑山路1號,119.464848,22.702543,高雄市大樹區姑山國民小學,檨腳里、姑山里,239,"水災,震災,土石流,海嘯",李家賢,07-6561349轉30,否,否,否
693,高雄市彌陀區,漯底里,樂安路1號,0.0,22.764013,高雄市彌陀區南安國民小學（備用）,全區調度配合,100,"水災,震災,海嘯",鍾姮潔,07-6191810#40,是,否,是
792,高雄市美濃區,吉洋里,南中街3號,0.0,22.866835,高雄市立南隆國民中學,清水里,2541,"水災,震災,土石流,海嘯",南隆國中,07-6831153,否,否,否
810,高雄市旗山區,東平里,樹人路21號,0.0,22.8845,國立旗美高級中學（備用）,東平里、東昌里、廣福里,100,"水災,震災",庶務組組長唐瑞明,6612502＃510,是,否,是
1022,彰化縣芬園鄉,圳墘村,彰南路二段36號,120.0,23.0,寶山國小,縣庄村 溪頭村 圳墘村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,否,否,否
1023,彰化縣芬園鄉,中崙村,大彰路二段100巷36號,120.0,23.0,同安國小,同安村 中崙村 大竹村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,是,否,是
1381,澎湖縣七美鄉,南港村,1鄰43號,119.425916,23.193387,南港社區活動中心,海豐村及南港村,200,"水災,海嘯",許雅珮,69971007,是,否,是
1390,澎湖縣七美鄉,中和村,中和村10鄰55號,119.428683,23.202412,七美鄉老人文康老人中心,中和及平和村本鄉主要災民收容指揮所,600,"水災,海嘯",王羿窕,06-9971007,是,否,是
1391,澎湖縣七美鄉,中和村,中和村4鄰1號,119.4286,23.2025,七美國小視聽教室,中和村,46,"水災,震災,海嘯",吳桂美,06-9971003,是,否,是
1395,澎湖縣七美鄉,海豐村,海豐村9鄰3-1號,119.4335,23.2056,海豐社區活動中心,海豐村,47,"水災,震災",陳家輝,06-9971015,是,否,是
1396,澎湖縣七美鄉,中和村,中和村5鄰41-1號,119.4295,23.2058,中和村社區活動中心,中和村,54,"水災,震災,海嘯",張生水,06-9971006,是,否,是
1400,澎湖縣七美鄉,平和村,平和村8鄰23-1,119.4286,23.2069,平和社區活動中心,平和村,58,"水災,震災,海嘯",蔡美華,06-9971009,是,否,是
1404,澎湖縣七美鄉,西湖村,西湖村6鄰38號,119.4376,23.211,西湖社區活動中心,西湖村,49,"水災,震災",許進徒,06-9971012,是,否,是
1405,澎湖縣七美鄉,東湖村,3鄰39-1號,119.437357,23.211082,東湖社區暨農漁民活動中心,東湖村及西湖村,200,"水災,海嘯",林成威,69971007,是,否,是
1408,澎湖縣七美鄉,中和村,中和村4鄰4號,119.4287,23.2135,七美國中學生活動中心,中和村,300,"水災,震災,海嘯",夏德清,06-9971019,是,否,是
1411,澎湖縣七美鄉,西湖村,西湖村7鄰9號,119.4294,23.2148,雙湖國小學生活動中心,西湖村,85,"水災,震災",林美美,06-9971018,是,否,是
1613,澎湖縣望安鄉,西安村,西安村36-1號,119.496973,23.361206,望安鄉多功能活動中心,望安鄉,150,,歐金星,06-9991311,否,否,否
2040,澎湖縣馬公市,西衛里,西衛里84號,119.5724,23.5665,西衛社區活動中心,西衛里,80,"水災,震災,海嘯",王崇志,06-9276686,是,否,是
2045,澎湖縣馬公市,案山里,澎湖縣馬公市大賢街160號,119.5658,23.568,勞工育樂中心,案山里,100,"水災,震災,海嘯",葉朝慶,06-9212680,是,否,是
2048,澎湖縣馬公市,烏崁里,烏崁里129號,119.581,23.5702,興仁國小教室,烏崁、興仁里,300,"水災,震災,海嘯",謝文仁,06-9211443,是,否,是
2049,澎湖縣馬公市,西衛里,澎湖縣馬公市六合路300號,119.5665,23.5704,澎湖科技大學學生活動中心,西衛 朝陽,400,"水災,震災,海嘯",曾洪素鸞,06-9272977,是,否,是
2051,澎湖縣馬公市,鐵線里,鐵線里4-5號,119.5805,23.5715,鐵線社區活動中心,鐵線里,230,"水災,震災,海嘯",許清白,06-9951011,是,否,是
2052,澎湖縣馬公市,西文里,文學路221號,119.569,23.5725,文澳國小體育館,西文里,190,"水災,震災,海嘯",陳神忠,06-9212412,是,否,是
2056,澎湖縣馬公市,光華里,光華里101號,119.5697,23.5736,中正國中體育館,光華、菜園里,300,"水災,震災,海嘯",藍凊敏,06-9211137#40,是,否,是
2057,澎湖縣馬公市,山水里,山水里140號,119.5817,23.5739,山水國小活動中心,鐵線、山水、鎖港里,500,"水災,震災,海嘯",陳瑞中,06-9951004,是,否,是
2058,澎湖縣湖西鄉,湖西村,湖西村43-1號,119.6496,23.5739,湖西國中活動中心,湖西、湖東、青螺、白坑村,300,海嘯,郁淑芳,06-9921929#28,否,是,是
2063,澎湖縣馬公市,東衛里,東衛里170號,119.5746,23.5749,東衛國小活動中心,安宅里,310,"水災,震災,海嘯",呂聖景,06-9213239,是,否,是
2078,澎湖縣馬公市,五德里,五德里41號,119.5737,23.5784,澎南國中活動中心,五德、井垵里,300,"水災,震災,海嘯",張子烈,06-9951212#29,是,否,是
2082,澎湖縣馬公市,風櫃里,風櫃里66號,119.5811,23.5799,風櫃國小活動中心,風櫃里,200,"水災,震災",林銘志,06-9951280,是,否,是
2084,澎湖縣湖西鄉,白坑村,白坑村1-3號,119.6626,23.5817,白坑社區活動中心,白坑村,20,"水災,震災,海嘯",許有進,06-9921025,是,否,是
2088,澎湖縣湖西鄉,鼎灣村,鼎灣村37號,119.6419,23.5828,鼎灣社區活動中心,鼎灣、許家、東石村,55,"水災,震災",洪昌邦,06-9213709,是,否,是
2090,澎湖縣馬公市,鎖港里,鎖港里633號,119.5719,23.5834,鎖港里社區活動中心,鎖港里,230,"水災,震災,海嘯",蔡得源,06-9950686,是,否,是
2091,澎湖縣湖西鄉,太武村,太武村14-1號,119.6202,23.584,太武社區活動中心,太武村,20,海嘯,歐孟沛,06-9262078,否,是,是
2092,澎湖縣湖西鄉,沙港村,澎湖縣湖西鄉沙港村75-1號,119.6526,23.584,沙港社區農漁民活動中心,沙港 鼎灣,500,"水災,震災,海嘯",莊玉璁,06-9921731,是,否,是
